ONLY FROM CHILD #1

name           tfr     subdidy        cost   age_first    age_last
MONEY      0.10000     1.00000     1.00000    25.61064    35.38025
CC         0.10000     2.60465     0.78198    25.62199    35.40538
PL         0.10000     3.14443     0.92765    25.67596    35.34029
CC+PL      0.10000     1.98666     0.87240    25.63944    35.37593
FEMALE     0.10000     1.00000     1.00000    25.63012    35.38698
MALE       0.10000     2.88104     2.88104    25.59074    35.39566



ONLY FROM CHILD #2

name           tfr     subdidy        cost   age_first    age_last
MONEY      0.10000     1.16270     0.52689    25.62538    35.38837
CC         0.10000     2.92001     0.38921    25.63088    35.40989
PL         0.10000     3.40882     0.48570    25.68747    35.33668
CC+PL      0.10000     2.13308     0.42535    25.63970    35.37843
FEMALE     0.10000     1.13393     0.50400    25.65462    35.39033
MALE       0.10000     3.47171     1.53892    25.60074    35.41594



ONLY FROM CHILD #3

name           tfr     subdidy        cost   age_first    age_last
MONEY      0.10000     2.60612     0.26197    25.67864    35.40588
CC         0.10000     6.74853     0.18944    25.68037    35.38612
PL         0.10000    10.11442     0.35428    25.74214    35.19795
CC+PL      0.10000     4.98571     0.20834    25.68502    35.32028
FEMALE     0.10000     3.48835     0.32135    25.69362    35.33683
MALE       0.10000     7.43401     0.71449    25.68063    35.45982



